[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 290] Step: 63,840 | Reward: -30.17 | Avg-100: -56.77 | Speed: 234457 steps/s
[EPISODE 291] Step: 63,968 | Reward: 22.38 | Avg-100: -56.80 | Speed: 492480 steps/s
[EPISODE 292] Step: 64,048 | Reward: -63.62 | Avg-100: -56.33 | Speed: 801900 steps/s
[EPISODE 293] Step: 64,176 | Reward: -8.90 | Avg-100: -56.43 | Speed: 439252 steps/s
[EPISODE 294] Step: 64,352 | Reward: -3.95 | Avg-100: -54.91 | Speed: 343255 steps/s
[EPISODE 295] Step: 64,688 | Reward: 9.40 | Avg-100: -54.61 | Speed: 178315 steps/s
[EPISODE 296] Step: 64,704 | Reward: -9.71 | Avg-100: -54.62 | Speed: 4394748 steps/s
[EPISODE 297] Step: 64,768 | Reward: -11.44 | Avg-100: -54.69 | Speed: 892943 steps/s
[BEST MODEL] New record! Avg Reward: -54.69
[EPISODE 298] Step: 65,792 | Reward: -158.65 | Avg-100: -56.37 | Speed: 21216 steps/s
[EPISODE 299] Step: 65,920 | Reward: -216.87 | Avg-100: -55.53 | Speed: 508561 steps/s
[EPISODE 300] Step: 66,112 | Reward: 55.52 | Avg-100: -55.14 | Speed: 323397 steps/s
[EPISODE 301] Step: 66,288 | Reward: 18.13 | Avg-100: -52.81 | Speed: 365113 steps/s
[EPISODE 302] Step: 67,168 | Reward: -60.51 | Avg-100: -53.33 | Speed: 71831 steps/s
[EPISODE 303] Step: 67,856 | Reward: -16.65 | Avg-100: -53.39 | Speed: 89869 steps/s
[EPISODE 304] Step: 67,936 | Reward: 23.27 | Avg-100: -53.13 | Speed: 786623 steps/s
[EPISODE 305] Step: 68,320 | Reward: -50.30 | Avg-100: -53.75 | Speed: 161716 steps/s
[EPISODE 306] Step: 68,352 | Reward: -34.95 | Avg-100: -54.08 | Speed: 1762572 steps/s
[EPISODE 307] Step: 68,608 | Reward: -38.43 | Avg-100: -51.62 | Speed: 234438 steps/s
[EPISODE 308] Step: 69,280 | Reward: 12.40 | Avg-100: -51.63 | Speed: 92781 steps/s
[EPISODE 309] Step: 70,080 | Reward: 2.51 | Avg-100: -51.23 | Speed: 75963 steps/s
[EPISODE 310] Step: 70,928 | Reward: -9.70 | Avg-100: -51.19 | Speed: 73953 steps/s
[EPISODE 311] Step: 71,360 | Reward: -37.07 | Avg-100: -48.34 | Speed: 140820 steps/s
[EPISODE 312] Step: 71,760 | Reward: 13.20 | Avg-100: -48.01 | Speed: 152824 steps/s
[EPISODE 313] Step: 72,560 | Reward: -160.91 | Avg-100: -49.01 | Speed: 77300 steps/s
[EPISODE 314] Step: 73,168 | Reward: -36.85 | Avg-100: -49.16 | Speed: 94408 steps/s
[EPISODE 315] Step: 73,728 | Reward: -65.57 | Avg-100: -49.63 | Speed: 105903 steps/s
[BEST MODEL] New record! Avg Reward: -49.63
[EPISODE 316] Step: 74,080 | Reward: 0.98 | Avg-100: -49.43 | Speed: 28833 steps/s
[EPISODE 317] Step: 74,112 | Reward: -182.32 | Avg-100: -50.79 | Speed: 2000145 steps/s
[EPISODE 318] Step: 74,176 | Reward: 3.66 | Avg-100: -50.69 | Speed: 909001 steps/s
[EPISODE 319] Step: 74,624 | Reward: -50.03 | Avg-100: -50.91 | Speed: 113069 steps/s
[EPISODE 320] Step: 74,880 | Reward: -8.38 | Avg-100: -50.55 | Speed: 222245 steps/s
[EPISODE 321] Step: 75,456 | Reward: -151.23 | Avg-100: -51.93 | Speed: 101478 steps/s
[EPISODE 322] Step: 75,664 | Reward: -0.44 | Avg-100: -51.08 | Speed: 235059 steps/s
[EPISODE 323] Step: 75,936 | Reward: 7.96 | Avg-100: -50.79 | Speed: 224743 steps/s
[EPISODE 324] Step: 76,096 | Reward: -13.79 | Avg-100: -49.26 | Speed: 364073 steps/s
[EPISODE 325] Step: 76,256 | Reward: -9.88 | Avg-100: -49.26 | Speed: 391928 steps/s
[EPISODE 326] Step: 76,512 | Reward: -13.34 | Avg-100: -47.69 | Speed: 243927 steps/s
[EPISODE 327] Step: 76,528 | Reward: 2.19 | Avg-100: -47.38 | Speed: 2136441 steps/s
[EPISODE 328] Step: 76,768 | Reward: -42.71 | Avg-100: -47.69 | Speed: 236212 steps/s
[EPISODE 329] Step: 77,104 | Reward: 17.04 | Avg-100: -47.25 | Speed: 181472 steps/s
[EPISODE 330] Step: 77,408 | Reward: -31.18 | Avg-100: -47.53 | Speed: 182207 steps/s
[EPISODE 331] Step: 77,568 | Reward: 16.09 | Avg-100: -46.68 | Speed: 311807 steps/s
[EPISODE 332] Step: 77,808 | Reward: -23.38 | Avg-100: -47.11 | Speed: 225190 steps/s
[EPISODE 333] Step: 78,032 | Reward: 7.58 | Avg-100: -47.31 | Speed: 279116 steps/s
[EPISODE 334] Step: 78,048 | Reward: 2.69 | Avg-100: -47.34 | Speed: 3731521 steps/s
